,filename,rating,latitude,longitude,scientific_name,common_name
0,1139490/CSA36385.ogg,0.0,7.3206,-73.7128,Ragoniella pulchella,Ragoniella pulchella
1,1139490/CSA36389.ogg,0.0,7.3206,-73.7128,Ragoniella pulchella,Ragoniella pulchella
2,1192948/CSA36358.ogg,0.0,7.3791,-73.7313,Oxyprora surinamensis,Oxyprora surinamensis
3,1192948/CSA36366.ogg,0.0,7.28,-73.8582,Oxyprora surinamensis,Oxyprora surinamensis
4,1192948/CSA36373.ogg,0.0,7.3791,-73.7313,Oxyprora surinamensis,Oxyprora surinamensis
5,1192948/CSA36388.ogg,0.0,7.3791,-73.7313,Oxyprora surinamensis,Oxyprora surinamensis
6,1194042/CSA18783.ogg,0.0,5.7892,-73.5504,Copiphora colombiae,Copiphora colombiae
7,1194042/CSA18794.ogg,0.0,5.7892,-73.5504,Copiphora colombiae,Copiphora colombiae
8,1194042/CSA18802.ogg,0.0,5.7892,-73.5504,Copiphora colombiae,Copiphora colombiae
9,126247/XC941297.ogg,3.5,9.0465,-79.3024,Leptodactylus insularum,Spotted Foam-nest Frog
10,126247/iNat1109254.ogg,0.0,9.0465,-79.3024,Leptodactylus insularum,Spotted Foam-nest Frog
11,126247/iNat146584.ogg,0.0,13.3852,-81.3704,Leptodactylus insularum,Spotted Foam-nest Frog
12,126247/iNat320679.ogg,0.0,13.3482,-81.3576,Leptodactylus insularum,Spotted Foam-nest Frog
13,126247/iNat888527.ogg,0.0,7.4197,-80.1606,Leptodactylus insularum,Spotted Foam-nest Frog
14,126247/iNat888729.ogg,0.0,7.4197,-80.1606,Leptodactylus insularum,Spotted Foam-nest Frog
15,1346504/CSA18784.ogg,0.0,5.7892,-73.5504,Neoconocephalus brachypterus,Neoconocephalus brachypterus
16,1346504/CSA18791.ogg,0.0,5.7892,-73.5504,Neoconocephalus brachypterus,Neoconocephalus brachypterus
17,1346504/CSA18792.ogg,0.0,5.7892,-73.5504,Neoconocephalus brachypterus,Neoconocephalus brachypterus
18,1346504/CSA18793.ogg,0.0,5.7892,-73.5504,Neoconocephalus brachypterus,Neoconocephalus brachypterus
19,1346504/CSA18803.ogg,0.0,5.7892,-73.5504,Neoconocephalus brachypterus,Neoconocephalus brachypterus
20,134933/XC941298.ogg,4.0,8.626,-80.1392,Espadarana prosoblepon,Emerald Glass Frog
21,134933/iNat1108984.ogg,0.0,8.626,-80.1392,Espadarana prosoblepon,Emerald Glass Frog
22,134933/iNat1160199.ogg,0.0,8.626,-80.1392,Espadarana prosoblepon,Emerald Glass Frog
23,134933/iNat859408.ogg,0.0,10.3639,-84.7898,Espadarana prosoblepon,Emerald Glass Frog
24,135045/iNat1122209.ogg,0.0,6.8819,-75.5274,Andinobates opisthomelas,Andean Poison Frog
25,135045/iNat1207345.ogg,0.0,6.0515,-75.3823,Andinobates opisthomelas,Andean Poison Frog
26,135045/iNat1207347.ogg,0.0,6.0515,-75.3823,Andinobates opisthomelas,Andean Poison Frog
27,135045/iNat1208549.ogg,0.0,6.0461,-75.2901,Andinobates opisthomelas,Andean Poison Frog
28,135045/iNat1208550.ogg,0.0,6.0424,-75.253,Andinobates opisthomelas,Andean Poison Frog
29,135045/iNat1208551.ogg,0.0,6.1436,-75.3364,Andinobates opisthomelas,Andean Poison Frog
30,135045/iNat1208552.ogg,0.0,6.0055,-75.3879,Andinobates opisthomelas,Andean Poison Frog
31,135045/iNat1208572.ogg,0.0,6.0106,-75.3322,Andinobates opisthomelas,Andean Poison Frog
32,135045/iNat327127.ogg,0.0,6.874,-75.3888,Andinobates opisthomelas,Andean Poison Frog
33,135045/iNat48803.ogg,0.0,6.1779,-75.5752,Andinobates opisthomelas,Andean Poison Frog
34,1462711/CSA36371.ogg,0.0,7.2625,-73.8207,Cocconotus aratifrons,Cocconotus aratifrons
35,1462711/CSA36379.ogg,0.0,7.3842,-73.8456,Cocconotus aratifrons,Cocconotus aratifrons
36,1462711/CSA36390.ogg,0.0,7.3842,-73.8456,Cocconotus aratifrons,Cocconotus aratifrons
37,1462737/CSA36341.ogg,0.0,7.32,-73.7069,Docidocercus fasciatus,Docidocercus fasciatus
38,1462737/CSA36369.ogg,0.0,7.3509,-73.8287,Docidocercus fasciatus,Docidocercus fasciatus
39,1462737/CSA36380.ogg,0.0,7.3842,-73.8456,Docidocercus fasciatus,Docidocercus fasciatus
40,1462737/CSA36381.ogg,0.0,7.3842,-73.8456,Docidocercus fasciatus,Docidocercus fasciatus
41,1462737/CSA36386.ogg,0.0,7.3842,-73.8456,Docidocercus fasciatus,Docidocercus fasciatus
42,1462737/CSA36391.ogg,0.0,7.3842,-73.8456,Docidocercus fasciatus,Docidocercus fasciatus
43,1462737/CSA36395.ogg,0.0,7.3206,-73.7128,Docidocercus fasciatus,Docidocercus fasciatus
44,1564122/CSA34195.ogg,0.0,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum 
45,1564122/CSA34196.ogg,0.0,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum 
46,1564122/CSA34197.ogg,0.0,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum 
47,1564122/CSA34198.ogg,0.0,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum 
48,1564122/CSA34199.ogg,0.0,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum 
49,1564122/CSA34200.ogg,0.0,-3.8333,-70.3333,Daedadelus waehnerorum ,Daedadelus waehnerorum 
50,21038/iNat297879.ogg,0.0,6.3741,-74.6802,Colostethus inguinalis,Common Rocket Frog
51,21038/iNat65519.ogg,0.0,9.892,-75.1912,Colostethus inguinalis,Common Rocket Frog
52,21116/iNat296867.ogg,0.0,5.8604,-74.8877,Dendrobates truncatus,Yellow-striped Poison Dart Frog
53,21116/iNat65520.ogg,0.0,9.8882,-75.1882,Dendrobates truncatus,Yellow-striped Poison Dart Frog
54,21211/XC882646.ogg,4.0,,,Allobates femoralis,Spotted-thighed Poison Frog
55,21211/XC882647.ogg,4.0,,,Allobates femoralis,Spotted-thighed Poison Frog
56,21211/XC882648.ogg,4.0,,,Allobates femoralis,Spotted-thighed Poison Frog
57,21211/XC882649.ogg,4.0,,,Allobates femoralis,Spotted-thighed Poison Frog
58,21211/XC882650.ogg,4.0,,,Allobates femoralis,Spotted-thighed Poison Frog
59,21211/XC882651.ogg,4.0,,,Allobates femoralis,Spotted-thighed Poison Frog
60,21211/XC882652.ogg,4.0,-4.2443,-69.9264,Allobates femoralis,Spotted-thighed Poison Frog
61,21211/XC882653.ogg,4.0,,,Allobates femoralis,Spotted-thighed Poison Frog
62,21211/XC882654.ogg,4.0,0.8366,-51.8884,Allobates femoralis,Spotted-thighed Poison Frog
63,21211/XC882655.ogg,4.0,0.8366,-51.8884,Allobates femoralis,Spotted-thighed Poison Frog
64,21211/XC882656.ogg,4.0,,,Allobates femoralis,Spotted-thighed Poison Frog
65,21211/XC882657.ogg,4.0,,,Allobates femoralis,Spotted-thighed Poison Frog
66,21211/XC882658.ogg,4.0,-4.3811,-70.0448,Allobates femoralis,Spotted-thighed Poison Frog
67,21211/XC882659.ogg,4.0,-10.2097,-67.7092,Allobates femoralis,Spotted-thighed Poison Frog
68,21211/XC896828.ogg,2.0,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog
69,21211/XC896832.ogg,3.0,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog
70,21211/XC896838.ogg,3.0,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog
71,21211/XC896839.ogg,4.0,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog
72,21211/XC896840.ogg,3.0,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog
73,21211/XC896855.ogg,3.0,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog
74,21211/XC896857.ogg,3.0,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog
75,21211/XC896860.ogg,3.0,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog
76,21211/XC896861.ogg,2.0,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog
77,21211/XC896863.ogg,3.0,3.9871,-52.5875,Allobates femoralis,Spotted-thighed Poison Frog
78,21211/XC913785.ogg,3.0,4.0883,-52.6813,Allobates femoralis,Spotted-thighed Poison Frog
79,21211/XC913809.ogg,3.0,4.0883,-52.6813,Allobates femoralis,Spotted-thighed Poison Frog
80,21211/XC913811.ogg,3.0,4.0883,-52.6813,Allobates femoralis,Spotted-thighed Poison Frog
81,21211/XC913839.ogg,3.0,4.0891,-52.6816,Allobates femoralis,Spotted-thighed Poison Frog
82,21211/XC913840.ogg,3.0,4.0891,-52.6816,Allobates femoralis,Spotted-thighed Poison Frog
83,21211/XC913858.ogg,3.0,4.0891,-52.6816,Allobates femoralis,Spotted-thighed Poison Frog
84,21211/XC913859.ogg,3.0,4.0891,-52.6816,Allobates femoralis,Spotted-thighed Poison Frog
85,21211/XC913880.ogg,4.0,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog
86,21211/XC913881.ogg,4.0,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog
87,21211/XC913886.ogg,4.0,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog
88,21211/XC913887.ogg,4.0,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog
89,21211/XC913893.ogg,3.0,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog
90,21211/XC913894.ogg,3.0,4.0895,-52.682,Allobates femoralis,Spotted-thighed Poison Frog
91,21211/XC913976.ogg,3.0,4.0916,-52.6858,Allobates femoralis,Spotted-thighed Poison Frog
